timestamp,commit_date,commit_hash,commit_short,branch,crate_name,loc_total,loc_code,loc_comments,loc_blanks,functions_count,avg_cyclomatic,max_cyclomatic,avg_cognitive,max_cognitive,avg_halstead_diff,max_halstead_diff,coverage_percent,covered_lines,total_lines,human_percent,claude_percent
2025-12-16T10:35:02.773289+00:00,2025-12-08,6225c1ba67c3ca0d906cbcec4f1d7d126c8c9030,6225c1b,HEAD,mmnes_core,3897,13252,756,2418,953,2.48,42.0,0.69,21.0,10.21,53.17,21.86,1158,5298,100.0,0.0
2025-12-16T10:35:02.773289+00:00,2025-12-08,6225c1ba67c3ca0d906cbcec4f1d7d126c8c9030,6225c1b,HEAD,mmnes_frontend,1053,4020,69,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-16T10:35:02.773289+00:00,2025-12-08,6225c1ba67c3ca0d906cbcec4f1d7d126c8c9030,6225c1b,HEAD,mmretrodb,162,591,0,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-16T10:36:06.984424+00:00,2025-12-14,fc8b5c60be422b39420387b3e62ed2847df1b95c,fc8b5c6,HEAD,mmnes_core,4540,14896,1021,2779,1077,2.38,42.0,0.64,21.0,10.11,58.94,41.25,2229,5404,100.0,0.0
2025-12-16T10:36:06.984424+00:00,2025-12-14,fc8b5c60be422b39420387b3e62ed2847df1b95c,fc8b5c6,HEAD,mmnes_frontend,1053,4020,69,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-16T10:36:06.984424+00:00,2025-12-14,fc8b5c60be422b39420387b3e62ed2847df1b95c,fc8b5c6,HEAD,mmretrodb,162,591,0,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-16T10:37:18.929973+00:00,2025-12-14,c48321d8808d84c737348bcf670e8ea115c24224,c48321d,HEAD,mmnes_core,5161,16449,1264,2962,1121,2.46,48.0,0.69,21.0,10.39,58.94,40.4,2267,5611,100.0,0.0
2025-12-16T10:37:18.929973+00:00,2025-12-14,c48321d8808d84c737348bcf670e8ea115c24224,c48321d,HEAD,mmnes_frontend,1053,4020,69,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-16T10:37:18.929973+00:00,2025-12-14,c48321d8808d84c737348bcf670e8ea115c24224,c48321d,HEAD,mmretrodb,162,591,0,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-16T10:38:25.826278+00:00,2025-12-14,30c792b2b4b1a561091ca1e5177e2fa2e0a5b1d3,30c792b,HEAD,mmnes_core,5176,16508,1277,2971,1122,2.47,48.0,0.69,21.0,10.41,58.94,40.18,2267,5642,100.0,0.0
2025-12-16T10:38:25.826278+00:00,2025-12-14,30c792b2b4b1a561091ca1e5177e2fa2e0a5b1d3,30c792b,HEAD,mmnes_frontend,1053,4020,69,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-16T10:38:25.826278+00:00,2025-12-14,30c792b2b4b1a561091ca1e5177e2fa2e0a5b1d3,30c792b,HEAD,mmretrodb,162,591,0,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-16T10:39:31.147294+00:00,2025-12-15,97ab7e8c3a35ef3e8f3587cbc7a2e562e8c8e5d0,97ab7e8,HEAD,mmnes_core,5188,16577,1342,2975,1122,2.47,48.0,0.69,21.0,10.41,58.94,40.18,2267,5642,89.7,10.3
2025-12-16T10:39:31.147294+00:00,2025-12-15,97ab7e8c3a35ef3e8f3587cbc7a2e562e8c8e5d0,97ab7e8,HEAD,mmnes_frontend,1059,4043,92,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-16T10:39:31.147294+00:00,2025-12-15,97ab7e8c3a35ef3e8f3587cbc7a2e562e8c8e5d0,97ab7e8,HEAD,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
